Player,Pos,40yd,Round
Da'Rel Scott,RB,4.4,7
Greg McElroy,QB,4.84,7
Jeremy Kerley,WR,4.56,5
Bilal Powell,RB,4.51,4
Denarius Moore,WR,4.43,5
Taiwan Jones,RB,4.33,4
Dion Lewis,RB,4.56,5
Colin Kaepernick,QB,4.53,2
Ronald Johnson,WR,4.46,6
Kendall Hunter,RB,4.46,4
Daniel Hardy,TE,4.78,7
Allen Bradford,RB,4.53,6
Luke Stocker,TE,4.68,4
Jake Locker,QB,4.51,1
Jamie Harper,RB,4.53,4
Roy Helu,RB,4.4,4
Aldrick Robinson,WR,4.35,6
Leonard Hankerson,WR,4.4,3
Evan Royster,RB,4.65,6
Niles Paul,WR,4.45,5
Ryan Lindley,QB,4.86,6
Michael Floyd,WR,4.4,1
Bernard Pierce,RB,4.45,3
Tommy Streeter,WR,4.37,6
T.J. Graham,WR,4.34,3
Joe Adams,WR,4.51,4
Alshon Jeffery,WR,4.48,2
Mohamed Sanu,WR,4.62,3
Marvin Jones,WR,4.46,5
Orson Charles,TE,4.73,4
Dan Herron,RB,4.57,6
Trent Richardson,RB,4.48,1
Travis Benjamin,WR,4.31,4
Brandon Weeden,QB,4.89,1
James Hanna,TE,4.43,6
Danny Coale,WR,4.42,5
Brock Osweiler,QB,4.83,2
Ronnie Hillman,RB,4.42,3
Ryan Broyles,WR,4.57,2
B.J. Coleman,QB,4.94,7
DeVier Posey,WR,4.39,3
Keshawn Martin,WR,4.42,4
T.Y. Hilton,WR,4.34,3
Dwayne Allen,TE,4.85,3
LaVon Brazill,WR,4.43,6
Coby Fleener,TE,4.51,2
Vick Ballard,RB,4.59,5
Andrew Luck,QB,4.59,1
Chandler Harnish,QB,4.68,7
Justin Blackmon,WR,4.46,1
Cyrus Gray,RB,4.4,6
Devon Wylie,WR,4.36,4
Junior Hemingway,WR,4.48,7
Ladarius Green,TE,4.45,4
Edwin Baker,RB,4.44,7
Brian Quick,WR,4.5,2
Isaiah Pead,RB,4.39,2
Chris Givens,WR,4.35,4
Michael Egnew,TE,4.52,3
B.J. Cunningham,WR,4.52,6
Ryan Tannehill,QB,4.65,1
Lamar Miller,RB,4.34,4
Rishard Matthews,WR,4.54,7
Greg Childs,WR,4.52,4
Rhett Ellison,TE,4.78,4
Jarius Wright,WR,4.39,4
Nick Toon,WR,4.49,4
Rueben Randle,WR,4.55,2
David Wilson,RB,4.38,1
Terrance Ganaway,RB,4.61,6
Stephen Hill,WR,4.36,2
Jordan White,WR,4.63,7
Juron Criner,WR,4.66,5
Nick Foles,QB,5.14,3
Marvin McNutt,WR,4.48,6
David Paulson,TE,4.79,7
Chris Rainey,RB,4.36,5
LaMichael James,RB,4.35,2
A.J. Jenkins,WR,4.37,1
Russell Wilson,QB,4.53,3
Robert Turbin,RB,4.42,4
Doug Martin,RB,4.46,1
Kendall Wright,WR,4.49,1
Kirk Cousins,QB,4.84,4
Alfred Morris,RB,4.63,6
Robert Griffin,QB,4.33,1
Ryan Swope,WR,4.34,6
Stepfan Taylor,RB,4.76,5
D.C. Jefferson,TE,4.97,7
Andre Ellington,RB,4.61,6
Levine Toilolo,TE,4.86,4
Sean Renfree,QB,4.76,7
Aaron Mellette,WR,4.54,7
Robert Woods,WR,4.51,2
E.J. Manuel,QB,4.65,1
Marquise Goodwin,WR,4.27,3
Chris Gragg,TE,4.5,7
Kenjon Barner,RB,4.52,6
Marquess Wilson,WR,4.51,7
Giovani Bernard,RB,4.53,2
Tyler Eifert,TE,4.68,1
Cobi Hamilton,WR,4.56,6
Rex Burkhead,RB,4.73,6
Terrance Williams,WR,4.52,3
Joseph Randle,RB,4.63,5
Gavin Escobar,TE,4.84,2
Zac Dysert,QB,4.81,7
Montee Ball,RB,4.66,2
Tavarres King,WR,4.47,5
Theo Riddick,RB,4.68,6
Corey Fuller,WR,4.43,6
Eddie Lacy,RB,4.55,2
Johnathan Franklin,RB,4.49,4
Alan Bonner,WR,4.59,6
DeAndre Hopkins,WR,4.57,1
Justice Cunningham,TE,4.94,7
Kerwynn Williams,RB,4.48,7
Ace Sanders,WR,4.58,4
Denard Robinson,WR,4.43,5
Knile Davis,RB,4.37,3
Travis Kelce,TE,4.63,3
Keenan Allen,WR,4.58,3
Brad Sorensen,QB,4.97,7
Zac Stacy,RB,4.55,5
Stedman Bailey,WR,4.52,3
Tavon Austin,WR,4.34,1
Mike Gillislee,RB,4.55,5
Dion Sims,TE,4.75,4
Cordarrelle Patterson,WR,4.42,1
Aaron Dobson,WR,4.37,2
Josh Boyce,WR,4.38,4
Kenny Stills,WR,4.38,5
Ryan Nassib,QB,5.06,4
Geno Smith,QB,4.58,2
Tyler Wilson,QB,4.95,4
Mychal Rivera,TE,4.81,6
Nick Kasa,TE,4.71,6
Zach Ertz,TE,4.76,2
Matt Barkley,QB,4.91,4
Le'Veon Bell,RB,4.6,2
Landry Jones,QB,5.11,4
Markus Wheaton,WR,4.45,3
Marcus Lattimore,RB,4.65,4
Quinton Patton,WR,4.53,4
Vance McDonald,TE,4.69,2
Chris Harper,WR,4.55,4
Spencer Ware,RB,4.62,6
Christine Michael,RB,4.54,2
Mike Glennon,QB,4.94,3
Mike James,RB,4.53,6
Justin Hunter,WR,4.44,2
Chris Thompson,RB,4.42,5
Jawan Jamison,RB,4.68,7
Jordan Reed,TE,4.72,3
Troy Niklas,TE,4.84,2
Logan Thomas,QB,4.61,4
John Brown,WR,4.34,3
Devonta Freeman,RB,4.58,4
Lorenzo Taliaferro,RB,4.58,4
Michael Campanaro,WR,4.46,7
Crockett Gillmore,TE,4.89,3
Keith Wenning,QB,5,6
Sammy Watkins,WR,4.43,1
Kelvin Benjamin,WR,4.61,1
Tyler Gaffney,RB,4.49,6
David Fales,QB,4.99,6
Ka'Deem Carey,RB,4.69,4
Jeremy Hill,RB,4.56,2
A.J. McCarron,QB,4.94,5
Johnny Manziel,QB,4.68,1
Terrance West,RB,4.56,3
Devin Street,WR,4.55,5
Cody Latimer,WR,4.52,2
Larry Webster,TE,4.58,4
Eric Ebron,TE,4.6,1
Richard Rodgers,TE,4.87,3
Jeff Janis,WR,4.42,7
Davante Adams,WR,4.56,2
Jared Abbrederis,WR,4.5,5
C.J. Fiedorowicz,TE,4.76,3
Alfred Blue,RB,4.63,6
Tom Savage,QB,4.97,4
Donte Moncrief,WR,4.4,3
Blake Bortles,QB,4.93,1
Storm Johnson,RB,4.6,7
Allen Robinson,WR,4.6,2
Marqise Lee,WR,4.52,2
